GRK4	GRK4
GSK3B	GSK3B
HCK	HCK
HCK	LCK
HIPK2	HIPK2
HPK1	HPK1
IKK-alpha	IKK-alpha
IKK-beta	IKK-beta
INSR	INSR
INSR	IGF1R
IRAK1	IRAK1
IRAK3	IRAK3
IRAK4	IRAK4
ITK	ITK
JAK1(JH2domain-pseudokinase)	JAK1(JH2domain-pseudokinase)
JAK2(JH1domain-catalytic)	JAK2(JH1domain-catalytic)
JAK2(JH1domain-catalytic)	JAK3(JH1domain-catalytic)
JNK3	JNK3
JNK3	JNK1
JNK3	JNK2
KIT(V559D-V654A)	KIT(V559D-V654A)
LIMK1	LIMK1
LIMK2	LIMK2
LKB1	LKB1
LOK	LOK
MAP4K3	MAP4K3
MAPKAPK2	MAPKAPK2
MARK1	MARK1
MARK1	MARK2
MARK1	MARK3
MARK1	MARK4
MEK2	MEK2
MEK2	MEK1
MEK4	MEK4
MEK4	MEK6
MELK	MELK
MERTK	MERTK
MET(Y1235D)	MET(Y1235D)
MKK7	MKK7
MKNK1	MKNK1
MKNK2	MKNK2
MLK1	MLK1
MRCKB	MRCKB
MST1R	MST1R
MST2	MST2
MST2	MST1
MST3	MST3
MST3	MST4
MST3	YSK1
MYLK4	MYLK4
NDR1	NDR1
NEK1	NEK1
NEK2	NEK2
NEK7	NEK7
OSR1	OSR1
PAK3	PAK3
PAK3	PAK1
PAK4	PAK4
PAK6	PAK6
PAK7	PAK7
PDGFRA	PDGFRA
PDPK1	PDPK1
PHKG2	PHKG2
PIM1	PIM1
PIM2	PIM2
PKAC-alpha	PKAC-alpha
PKMYT1	PKMYT1
PKN2	PKN2
PKN2	PKN1
PLK1	PLK1
PLK2	PLK2
PLK2	PLK3
PLK4	PLK4
PRKCH	PRKCH
PRKCI	PRKCI
PRKCQ	PRKCQ
PRKG1	PRKG1
PRKR	PRKR
PRP4	PRP4
PYK2	PYK2
RET(V804M)	RET(V804M)
RIPK1	RIPK1
RIPK2	RIPK2
ROCK1	ROCK1
ROCK2	ROCK2
ROS1	ROS1
RPS6KA5(KinDom.2-C-terminal)	RPS6KA5(KinDom.2-C-terminal)
RSK2(KinDom.1-N-terminal)	RSK2(KinDom.1-N-terminal)
RSK2(KinDom.1-N-terminal)	RSK3(KinDom.2-C-terminal)
S6K1	S6K1
SLK	SLK
SNRK	SNRK
SRC	SRC
SRPK2	SRPK2
SRPK2	SRPK1
STK16	STK16
SYK	SYK
SYK	ZAP70
TAK1	TAK1
TAOK3	TAOK3
TBK1	TBK1
AAK1	AAK1
ABL1p	ABL1p
ABL1p	ABL2
ACVR1	ACVR1
ACVR1	ACVRL1
ACVR1	BMPR1B
ACVR2A	ACVR2A
ACVR2A	ACVR2B
AKT2	AKT2
AKT2	AKT1
ALK	ALK
AMPK-alpha1	AMPK-alpha1
AMPK-alpha1	AMPK-alpha2
ASK1	ASK1
AURKA	AURKA
AURKA	AURKB
AURKA	AURKC
AXL	AXL
BIKE	BIKE
BMPR2	BMPR2
BMX	BMX
BRAF(V600E)	BRAF(V600E)
BRAF(V600E)	RAF1
BRK	BRK
CAMK1D	CAMK1D
CAMK1D	CAMK1
CAMK1G	CAMK1G
CAMK2B	CAMK2B
CAMK2B	CAMK2A
CAMK2B	CAMK2D
CAMK2B	CAMK2G
CAMK4	CAMK4
CAMKK1	CAMKK1
CAMKK2	CAMKK2
CASK	CASK
CDC2L5	CDC2L5
CDK2	CDK2
CDK2	CDK5
CDK4-cyclinD3	CDK4-cyclinD3
CDK7	CDK7
CDK8	CDK8
CDK9	CDK9
CDKL1	CDKL1
CDKL2	CDKL2
CDKL3	CDKL3
CDKL5	CDKL5
CHEK1	CHEK1
CHEK2	CHEK2
CLK3	CLK3
CLK3	CLK2
CLK3	CLK1
CLK3	CLK4
CSF1R	CSF1R
CSK	CSK
CSNK1E	CSNK1E
CSNK1E	CSNK1A1
CSNK1E	CSNK1D
CSNK1G3	CSNK1G3
CSNK1G3	CSNK1G2
CSNK1G3	CSNK1G1
CSNK2A1	CSNK2A1
CSNK2A1	CSNK2A2
DAPK1	DAPK1
DAPK1	DAPK2
DAPK1	DAPK3
DCAMKL1	DCAMKL1
DDR1	DDR1
DDR1	DDR2
DLK	DLK
DMPK	DMPK
DRAK2	DRAK2
DYRK1A	DYRK1A
DYRK2	DYRK2
EGFR(T790M)	EGFR(T790M)
EPHA5	EPHA5
EPHA5	EPHA2
EPHA5	EPHA3
EPHA5	EPHA8
EPHA7	EPHA7
EPHA7	EPHB2
EPHB3	EPHB3
EPHB3	EPHB1
ERBB2	ERBB2
ERBB3	ERBB3
